service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1512,1,1,1,1,1,0,1,20190106,20190405
2554,1,1,1,1,1,1,1,20190106,20190406
2462,0,0,0,0,0,1,1,20190106,20190406
2934,1,1,1,1,1,1,1,20190204,20190406
2948,0,0,0,0,0,0,1,20190106,20190331
486,0,0,0,0,0,1,1,20190209,20190210
2561,1,1,1,1,1,0,0,20190107,20190322
2945,0,0,0,0,0,0,1,20190106,20190331
2736,1,1,1,1,1,1,1,20190106,20190406
563,1,1,1,1,0,0,0,20190107,20190404
2748,1,1,1,1,1,1,0,20190107,20190406
2742,1,1,1,1,1,1,1,20190106,20190405
2750,1,1,1,1,1,0,0,20190211,20190308
2749,1,1,1,1,1,1,1,20190106,20190210
2743,0,0,0,0,1,1,1,20190106,20190406
2483,0,0,0,0,0,1,1,20190106,20190406
2746,1,1,1,1,1,1,0,20190325,20190405
2757,1,1,1,1,0,1,1,20190106,20190406
2647,1,1,1,1,1,1,1,20190106,20190406
2604,1,1,1,1,1,1,1,20190106,20190406
2785,0,0,0,0,1,0,1,20190208,20190210
2526,0,0,0,0,0,1,1,20190106,20190406
2756,0,0,0,0,1,0,0,20190111,20190329
2747,1,1,1,1,1,1,1,20190106,20190331
2784,1,1,1,1,1,1,1,20190211,20190405
1385,0,0,0,0,0,1,0,20190216,20190223
2754,1,1,1,1,1,1,1,20190106,20190405
2755,1,1,1,1,1,1,1,20190106,20190406
2504,1,1,1,1,1,0,0,20190107,20190405
2527,1,1,1,1,1,0,0,20190107,20190405
2790,1,1,1,1,1,1,1,20190106,20190406
2793,1,1,1,1,1,1,1,20190106,20190406
2990,1,1,1,1,1,1,1,20190204,20190406
2957,1,1,1,1,0,0,1,20190203,20190221
2956,0,0,0,0,1,0,0,20190304,20190405
2780,1,1,1,1,1,1,0,20190107,20190406
2853,1,1,1,1,1,0,0,20190107,20190405
2855,0,0,0,0,0,1,1,20190106,20190406
2786,1,1,1,1,1,0,0,20190107,20190405
2973,1,1,1,1,1,0,0,20190204,20190405
2857,1,1,1,1,1,1,1,20190106,20190406
2919,0,0,0,0,0,0,1,20190204,20190210
2918,1,1,1,1,1,0,1,20190106,20190405
2923,0,0,0,0,0,1,0,20190112,20190323
2807,0,0,0,0,0,1,0,20190330,20190406
2915,1,1,1,0,0,0,0,20190211,20190213
2770,1,1,1,1,1,1,1,20190106,20190127
2867,1,1,1,1,1,1,1,20190128,20190224
2869,1,1,1,1,1,1,1,20190128,20190224
2871,1,1,1,1,1,1,1,20190106,20190324
2914,1,1,1,1,1,1,1,20190225,20190318
2776,1,1,1,1,1,0,0,20190128,20190224
2777,0,1,1,1,1,1,1,20190319,20190324
2774,1,1,1,1,1,0,0,20190325,20190405
2773,0,0,0,0,0,1,1,20190202,20190224
2870,1,1,1,1,1,1,1,20190106,20190324
2922,0,1,0,0,0,0,0,20190129,20190219
2925,1,0,1,1,1,0,1,20190128,20190224
2924,1,1,1,1,1,0,1,20190106,20190324
2913,0,0,0,0,0,0,1,20190203,20190224
2912,1,1,1,1,1,1,0,20190128,20190223
2939,1,1,1,1,1,1,1,20190106,20190127
2921,1,1,1,1,1,0,1,20190325,20190405
2817,0,0,0,0,0,1,1,20190330,20190406
2809,0,0,0,0,0,1,0,20190112,20190323
2805,1,1,1,1,1,1,0,20190325,20190406
2811,1,1,1,1,1,1,0,20190107,20190323
2802,1,1,1,1,1,1,0,20190128,20190223
2808,1,1,1,1,1,0,0,20190107,20190322
1379,1,1,1,1,1,0,0,20190325,20190405
2812,1,1,1,1,1,0,0,20190128,20190222
3530,1,1,1,1,1,1,1,20190128,20190224
3509,0,0,0,0,0,1,1,20190106,20190330
3510,1,1,1,1,1,0,0,20190107,20190324
3508,0,0,0,0,0,1,1,20190202,20190223
3573,1,1,1,1,1,1,0,20190107,20190406
3537,1,1,1,1,1,1,0,20190107,20190330
479,0,0,0,0,0,0,1,20190210,20190224
3539,1,1,1,1,1,1,0,20190401,20190406
3540,0,0,0,0,0,0,1,20190106,20190331
3544,1,1,1,1,1,1,1,20190106,20190330
3532,1,1,1,1,1,1,1,20190106,20190406
3450,1,1,1,1,1,1,1,20190106,20190324
3648,1,1,1,1,1,1,1,20190106,20190406
3513,1,1,1,1,1,0,1,20190128,20190224
3514,1,1,1,1,1,0,1,20190106,20190405
768,0,0,0,0,0,0,1,20190106,20190224
769,0,0,0,0,0,0,1,20190303,20190331
797,0,0,0,0,1,0,0,20190111,20190405
941,0,0,0,0,1,0,0,20190301,20190405
765,1,1,1,1,1,0,0,20190225,20190405
767,1,1,1,1,1,0,0,20190107,20190222
766,1,1,1,1,1,0,0,20190107,20190222
841,1,1,1,1,1,1,1,20190106,20190224
799,1,1,1,1,1,1,1,20190225,20190406
786,0,0,0,0,0,0,1,20190106,20190224
942,1,1,1,1,0,0,0,20190225,20190321
788,1,1,1,1,1,1,1,20190225,20190406
789,1,1,1,1,1,1,1,20190106,20190224
787,0,0,0,0,0,0,1,20190303,20190331
779,1,1,1,1,1,0,0,20190107,20190405
854,0,0,0,0,0,1,1,20190127,20190210
853,0,0,0,0,0,1,1,20190211,20190310
856,0,0,0,0,0,1,1,20190316,20190317
341,0,0,0,0,0,1,0,20190202,20190209
828,0,0,0,0,0,1,0,20190211,20190316
784,0,0,0,0,1,0,0,20190118,20190405
763,1,1,1,1,1,0,0,20190107,20190111
762,1,1,1,1,1,0,0,20190114,20190405
887,1,1,1,1,1,0,0,20190107,20190405
775,1,1,1,1,1,0,0,20190318,20190322
1075,1,1,1,1,0,0,0,20190114,20190221
831,0,0,0,0,0,0,1,20190224,20190331
1074,1,1,1,1,0,0,0,20190107,20190110
361,1,1,1,1,1,0,0,20190204,20190208
947,1,1,1,1,1,0,0,20190305,20190405
997,1,1,1,1,1,0,1,20190112,20190210
995,1,1,1,1,1,1,1,20190225,20190406
943,1,1,1,1,1,0,0,20190107,20190111
944,1,1,1,1,1,0,0,20190112,20190302
360,1,1,1,1,1,0,0,20190121,20190201
945,0,0,0,0,0,1,0,20190325,20190406
1110,0,0,0,0,0,1,1,20190112,20190224
1111,1,1,1,1,1,0,0,20190304,20190308
946,1,1,1,1,1,0,0,20190225,20190304
830,0,0,0,0,0,0,1,20190113,20190120
844,0,0,0,0,0,1,1,20190127,20190210
304,0,0,0,0,0,0,1,20190127,20190210
1137,1,1,1,1,1,1,1,20190325,20190406
890,0,0,0,0,0,1,1,20190309,20190310
1136,1,1,1,1,1,0,0,20190121,20190210
843,0,0,0,0,0,1,1,20190323,20190324
811,1,1,1,1,1,1,0,20190225,20190406
805,1,1,1,1,1,0,0,20190107,20190111
806,1,1,1,1,1,1,0,20190112,20190223
764,1,1,1,1,1,0,0,20190107,20190111
989,0,0,0,0,0,1,0,20190112,20190406
816,1,1,1,1,1,0,0,20190107,20190405
674,0,0,0,0,0,1,0,20190330,20190406
1143,0,0,0,0,1,1,1,20190301,20190317
818,1,1,1,1,1,0,0,20190107,20190111
819,1,1,1,1,1,0,0,20190114,20190222
820,1,1,1,1,1,0,0,20190225,20190405
1144,1,1,1,1,0,0,0,20190225,20190404
1165,1,1,1,1,1,0,0,20190121,20190125
1164,1,1,1,1,1,0,0,20190128,20190201
1146,0,0,0,0,0,1,1,20190202,20190210
1151,0,0,0,0,0,1,1,20190302,20190406
1154,1,1,1,1,1,1,1,20190225,20190406
1000,1,1,1,1,1,1,1,20190112,20190224
999,1,1,1,1,1,1,1,20190225,20190406
1189,1,0,0,0,0,0,0,20190128,20190218
1187,1,0,0,0,0,0,0,20190225,20190401
1185,1,0,0,0,0,0,0,20190114,20190121
1159,0,1,1,1,1,1,0,20190112,20190322
1160,0,1,1,1,1,0,0,20190326,20190329
1158,0,1,1,1,1,0,0,20190108,20190111
1157,0,1,1,1,1,1,0,20190402,20190406
1060,1,1,1,1,1,0,0,20190225,20190405
1061,1,1,1,1,1,0,0,20190107,20190222
1065,1,1,1,1,1,0,0,20190107,20190222
2564,1,1,1,1,1,0,0,20190107,20190405
1488,0,0,0,0,0,0,1,20190106,20190331
166,1,1,1,1,1,0,0,20190107,20190405
2506,1,1,1,1,1,0,0,20190107,20190405
2497,1,1,1,1,1,0,0,20190107,20190405
2467,0,0,0,0,0,1,1,20190106,20190406
2545,1,1,1,1,1,1,0,20190107,20190406
2882,1,1,1,1,1,0,0,20190107,20190405
1600,1,1,1,1,1,0,0,20190107,20190405
2676,0,0,0,0,0,1,1,20190106,20190224
2465,0,0,0,0,0,1,0,20190112,20190406
2677,0,0,0,0,0,1,1,20190302,20190406
2563,0,0,0,0,0,1,1,20190106,20190406
263,1,1,1,1,1,0,0,20190121,20190208
2713,1,1,1,0,1,0,0,20190218,20190301
2712,1,1,1,1,1,0,0,20190107,20190405
2962,1,1,1,1,1,0,0,20190107,20190208
957,1,1,1,1,1,0,0,20190211,20190405
160,1,1,1,1,1,0,0,20190107,20190208
2514,1,1,1,1,1,0,0,20190107,20190405
1311,0,0,0,0,1,0,1,20190106,20190405
2891,1,1,1,1,1,0,0,20190204,20190301
2976,1,1,1,1,1,0,0,20190107,20190405
2892,1,1,1,1,1,0,0,20190107,20190201
2886,1,1,1,1,1,0,0,20190318,20190404
2883,1,1,1,1,1,0,0,20190107,20190315
2734,0,0,0,0,0,1,1,20190106,20190406
2539,1,1,1,1,1,0,0,20190107,20190301
2894,1,1,1,1,1,0,0,20190204,20190405
2733,1,1,1,1,1,0,0,20190107,20190301
2614,1,1,1,1,1,0,0,20190107,20190405
2608,1,1,1,1,1,0,0,20190107,20190405
2259,0,0,0,0,0,1,1,20190106,20190406
2639,1,1,1,1,1,0,0,20190107,20190405
2735,0,0,0,0,0,0,1,20190106,20190331
